STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
OLPX,NasdaqGS:OLPX,"Olaplex Holdings, Inc.",Personal Care Products
NCNO,NasdaqGS:NCNO,"nCino, Inc.",Application Software
SHOO,NasdaqGS:SHOO,"Steven Madden, Ltd.",Footwear
LCII,NYSE:LCII,LCI Industries,Automotive Parts and Equipment
CVCO,NasdaqGS:CVCO,"Cavco Industries, Inc.",Homebuilding
GO,NasdaqGS:GO,Grocery Outlet Holding Corp.,Food Retail
RPD,NasdaqGM:RPD,"Rapid7, Inc.",Systems Software
DNA,NYSE:DNA,"Ginkgo Bioworks Holdings, Inc.",Specialty Chemicals
ARWR,NasdaqGS:ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology
DY,NYSE:DY,"Dycom Industries, Inc.",Construction and Engineering
PK,NYSE:PK,Park Hotels & Resorts Inc.,Hotel and Resort REITs
CRC,NYSE:CRC,California Resources Corporation,Oil and Gas Exploration and Production
BANF,NasdaqGS:BANF,BancFirst Corporation,Regional Banks
JOBY,NYSE:JOBY,"Joby Aviation, Inc.",Passenger Airlines
AXNX,NasdaqGS:AXNX,"Axonics, Inc.",Health Care Equipment
SPB,NYSE:SPB,"Spectrum Brands Holdings, Inc.",Household Products
DORM,NasdaqGS:DORM,"Dorman Products, Inc.",Automotive Parts and Equipment
KFY,NYSE:KFY,Korn Ferry,Human Resource and Employment Services
CRI,NYSE:CRI,"Carter's, Inc.","Apparel, Accessories and Luxury Goods"
PLXS,NasdaqGS:PLXS,Plexus Corp.,Electronic Manufacturing Services
RVNC,NasdaqGM:RVNC,"Revance Therapeutics, Inc.",Pharmaceuticals
BPMC,NasdaqGS:BPMC,Blueprint Medicines Corporation,Biotechnology
CNX,NYSE:CNX,CNX Resources Corporation,Oil and Gas Exploration and Production
KTB,NYSE:KTB,"Kontoor Brands, Inc.","Apparel, Accessories and Luxury Goods"
AXSM,NasdaqGM:AXSM,"Axsome Therapeutics, Inc.",Pharmaceuticals
LGIH,NasdaqGS:LGIH,"LGI Homes, Inc.",Homebuilding
REZI,NYSE:REZI,"Resideo Technologies, Inc.",Building Products
OUT,NYSE:OUT,Outfront Media Inc.,Other Specialized REITs
BRC,NYSE:BRC,Brady Corporation,Commercial Printing
ASB,NYSE:ASB,Associated Banc-Corp,Regional Banks
OFC,NYSE:OFC,Corporate Office Properties Trust,Office REITs
IBOC,NasdaqGS:IBOC,International Bancshares Corporation,Regional Banks
SBRA,NasdaqGS:SBRA,"Sabra Health Care REIT, Inc.",Health Care REITs
NGVT,NYSE:NGVT,Ingevity Corporation,Specialty Chemicals
WHD,NYSE:WHD,"Cactus, Inc.",Oil and Gas Equipment and Services
BBIO,NasdaqGS:BBIO,"BridgeBio Pharma, Inc.",Biotechnology
VSCO,NYSE:VSCO,Victoria's Secret & Co.,Apparel Retail
LUMN,NYSE:LUMN,"Lumen Technologies, Inc.",Alternative Carriers
MCW,NYSE:MCW,"Mister Car Wash, Inc.",Specialized Consumer Services
OMCL,NasdaqGS:OMCL,"Omnicell, Inc.",Health Care Equipment
FHB,NasdaqGS:FHB,"First Hawaiian, Inc.",Regional Banks
AEO,NYSE:AEO,"American Eagle Outfitters, Inc.",Apparel Retail
AUB,NYSE:AUB,Atlantic Union Bankshares Corporation,Regional Banks
DSEY,NasdaqGS:DSEY,"Diversey Holdings, Ltd.",Specialty Chemicals
TNDM,NasdaqGM:TNDM,"Tandem Diabetes Care, Inc.",Health Care Equipment
PDCO,NasdaqGS:PDCO,"Patterson Companies, Inc.",Health Care Distributors
DNUT,NasdaqGS:DNUT,"Krispy Kreme, Inc.",Restaurants
ARNC,NYSE:ARNC,Arconic Corporation,Aluminum
KSS,NYSE:KSS,Kohl's Corporation,Broadline Retail
JWN,NYSE:JWN,"Nordstrom, Inc.",Broadline Retail
FRC,NYSE:FRC,First Republic Bank,Regional Banks
HPK,NasdaqGM:HPK,"HighPeak Energy, Inc.",Oil and Gas Exploration and Production
SSTK,NYSE:SSTK,"Shutterstock, Inc.",Interactive Media and Services
AMC,NYSE:AMC,"AMC Entertainment Holdings, Inc.",Movies and Entertainment
HASI,NYSE:HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Mortgage REITs
PZZA,NasdaqGS:PZZA,"Papa John's International, Inc.",Restaurants
VSAT,NasdaqGS:VSAT,"Viasat, Inc.",Communications Equipment
SITC,NYSE:SITC,SITE Centers Corp.,Retail REITs
NOG,NYSE:NOG,"Northern Oil and Gas, Inc.",Oil and Gas Exploration and Production
TPH,NYSE:TPH,"Tri Pointe Homes, Inc.",Homebuilding
ITGR,NYSE:ITGR,Integer Holdings Corporation,Health Care Equipment
RRR,NasdaqGS:RRR,"Red Rock Resorts, Inc.",Casinos and Gaming
AMRC,NYSE:AMRC,"Ameresco, Inc.",Construction and Engineering
URBN,NasdaqGS:URBN,"Urban Outfitters, Inc.",Apparel Retail
PRTA,NasdaqGS:PRTA,Prothena Corporation plc,Biotechnology
CNO,NYSE:CNO,"CNO Financial Group, Inc.",Life and Health Insurance
BMBL,NasdaqGS:BMBL,Bumble Inc.,Interactive Media and Services
IOSP,NasdaqGS:IOSP,Innospec Inc.,Specialty Chemicals
WD,NYSE:WD,"Walker & Dunlop, Inc.",Commercial and Residential Mortgage Finance
VRRM,NasdaqCM:VRRM,Verra Mobility Corporation,Data Processing and Outsourced Services
ABCB,NasdaqGS:ABCB,Ameris Bancorp,Regional Banks
CVLT,NasdaqGS:CVLT,"Commvault Systems, Inc.",Systems Software
ITRI,NasdaqGS:ITRI,"Itron, Inc.",Electronic Equipment and Instruments
CBRL,NasdaqGS:CBRL,"Cracker Barrel Old Country Store, Inc.",Restaurants
ETRN,NYSE:ETRN,Equitrans Midstream Corporation,Oil and Gas Storage and Transportation
SAGE,NasdaqGM:SAGE,"Sage Therapeutics, Inc.",Biotechnology
BCC,NYSE:BCC,Boise Cascade Company,Trading Companies and Distributors
CATY,NasdaqGS:CATY,Cathay General Bancorp,Regional Banks
PRFT,NasdaqGS:PRFT,"Perficient, Inc.",IT Consulting and Other Services
PTEN,NasdaqGS:PTEN,"Patterson-UTI Energy, Inc.",Oil and Gas Drilling
SONO,NasdaqGS:SONO,"Sonos, Inc.",Consumer Electronics
ALRM,NasdaqGS:ALRM,"Alarm.com Holdings, Inc.",Application Software
HAYW,NYSE:HAYW,"Hayward Holdings, Inc.",Building Products
PRGS,NasdaqGS:PRGS,Progress Software Corporation,Systems Software
CBZ,NYSE:CBZ,"CBIZ, Inc.",Research and Consulting Services
ENR,NYSE:ENR,"Energizer Holdings, Inc.",Household Products
GNW,NYSE:GNW,"Genworth Financial, Inc.",Life and Health Insurance
GLNG,NasdaqGS:GLNG,Golar LNG Limited,Oil and Gas Storage and Transportation
EXTR,NasdaqGS:EXTR,"Extreme Networks, Inc.",Communications Equipment
ARCH,NYSE:ARCH,"Arch Resources, Inc.",Coal and Consumable Fuels
ESE,NYSE:ESE,ESCO Technologies Inc.,Industrial Machinery and Supplies and Components
MQ,NasdaqGS:MQ,"Marqeta, Inc.",Transaction and Payment Processing Services
MC,NYSE:MC,Moelis & Company,Investment Banking and Brokerage
FORM,NasdaqGS:FORM,"FormFactor, Inc.",Semiconductor Materials and Equipment
PRMW,NYSE:PRMW,Primo Water Corporation,Soft Drinks and Non-alcoholic Beverages
HIW,NYSE:HIW,"Highwoods Properties, Inc.",Office REITs
TMDX,NasdaqGM:TMDX,"TransMedics Group, Inc.",Health Care Equipment
AMBP,NYSE:AMBP,Ardagh Metal Packaging S.A.,"Metal, Glass and Plastic Containers"
VIAV,NasdaqGS:VIAV,Viavi Solutions Inc.,Communications Equipment
KAI,NYSE:KAI,Kadant Inc.,Industrial Machinery and Supplies and Components
LGF.A,NYSE:LGF.A,Lions Gate Entertainment Corp.,Movies and Entertainment
LGF.B,NYSE:LGF.B,Lions Gate Entertainment Corp.,Movies and Entertainment
JOE,NYSE:JOE,The St. Joe Company,Diversified Real Estate Activities
VRNT,NasdaqGS:VRNT,Verint Systems Inc.,Application Software
SPWR,NasdaqGS:SPWR,SunPower Corporation,Electrical Components and Equipment
WDFC,NasdaqGS:WDFC,WD-40 Company,Household Products
XRX,NasdaqGS:XRX,Xerox Holdings Corporation,"Technology Hardware, Storage and Peripherals"
GH,NasdaqGS:GH,"Guardant Health, Inc.",Health Care Services
NABL,NYSE:NABL,"N-able, Inc.",Systems Software
WOOF,NasdaqGS:WOOF,"Petco Health and Wellness Company, Inc.",Other Specialty Retail
GKOS,NYSE:GKOS,Glaukos Corporation,Health Care Equipment
JAMF,NasdaqGS:JAMF,Jamf Holding Corp.,Application Software
LAZR,NasdaqGS:LAZR,"Luminar Technologies, Inc.",Automotive Parts and Equipment
AMED,NasdaqGS:AMED,"Amedisys, Inc.",Health Care Services
CWK,NYSE:CWK,Cushman & Wakefield plc,Real Estate Services
GMS,NYSE:GMS,GMS Inc.,Trading Companies and Distributors
YOU,NYSE:YOU,"Clear Secure, Inc.",Application Software
MTRN,NYSE:MTRN,Materion Corporation,Diversified Metals and Mining
JBLU,NasdaqGS:JBLU,JetBlue Airways Corporation,Passenger Airlines
TCBI,NasdaqGS:TCBI,"Texas Capital Bancshares, Inc.",Regional Banks
FLNC,NasdaqGS:FLNC,"Fluence Energy, Inc.",Electrical Components and Equipment
ENVX,NasdaqGS:ENVX,Enovix Corporation,Electrical Components and Equipment
SJW,NYSE:SJW,SJW Group,Water Utilities
AMR,NYSE:AMR,"Alpha Metallurgical Resources, Inc.",Steel
CORT,NasdaqCM:CORT,Corcept Therapeutics Incorporated,Pharmaceuticals
LIVN,NasdaqGS:LIVN,LivaNova PLC,Health Care Equipment
TWKS,NasdaqGS:TWKS,"Thoughtworks Holding, Inc.",IT Consulting and Other Services
CVBF,NasdaqGS:CVBF,CVB Financial Corp.,Regional Banks
INSM,NasdaqGS:INSM,Insmed Incorporated,Biotechnology
AMK,NYSE:AMK,"AssetMark Financial Holdings, Inc.",Asset Management and Custody Banks
FCPT,NYSE:FCPT,"Four Corners Property Trust, Inc.",Other Specialized REITs
WSFS,NasdaqGS:WSFS,WSFS Financial Corporation,Regional Banks
FULT,NasdaqGS:FULT,Fulton Financial Corporation,Regional Banks
AVAV,NasdaqGS:AVAV,"AeroVironment, Inc.",Aerospace and Defense
RVMD,NasdaqGS:RVMD,"Revolution Medicines, Inc.",Biotechnology
SCL,NYSE:SCL,Stepan Company,Specialty Chemicals
FG,NYSE:FG,"F&G Annuities & Life, Inc.",Life and Health Insurance
RXO,NYSE:RXO,"RXO, Inc.",Cargo Ground Transportation
KW,NYSE:KW,"Kennedy-Wilson Holdings, Inc.",Real Estate Operating Companies
BOOT,NYSE:BOOT,"Boot Barn Holdings, Inc.",Apparel Retail
PRVB,NasdaqGS:PRVB,"Provention Bio, Inc.",Pharmaceuticals
HELE,NasdaqGS:HELE,Helen of Troy Limited,Household Appliances
PPBI,NasdaqGS:PPBI,"Pacific Premier Bancorp, Inc.",Regional Banks
MAC,NYSE:MAC,The Macerich Company,Retail REITs
WMK,NYSE:WMK,"Weis Markets, Inc.",Food Retail
MGRC,NasdaqGS:MGRC,McGrath RentCorp,Trading Companies and Distributors
FTDR,NasdaqGS:FTDR,"Frontdoor, Inc.",Specialized Consumer Services
CPK,NYSE:CPK,Chesapeake Utilities Corporation,Gas Utilities
EQC,NYSE:EQC,Equity Commonwealth,Office REITs
LBRT,NYSE:LBRT,Liberty Energy Inc.,Oil and Gas Equipment and Services
BLMN,NasdaqGS:BLMN,"Bloomin' Brands, Inc.",Restaurants
ZETA,NYSE:ZETA,Zeta Global Holdings Corp.,Application Software
ARCB,NasdaqGS:ARCB,ArcBest Corporation,Cargo Ground Transportation
NHI,NYSE:NHI,"National Health Investors, Inc.",Health Care REITs
TDW,NYSE:TDW,Tidewater Inc.,Oil and Gas Equipment and Services
FSLY,NYSE:FSLY,"Fastly, Inc.",Internet Services and Infrastructure
SFNC,NasdaqGS:SFNC,Simmons First National Corporation,Regional Banks
PAYO,NasdaqGM:PAYO,Payoneer Global Inc.,Transaction and Payment Processing Services
SIX,NYSE:SIX,Six Flags Entertainment Corporation,Leisure Facilities
TROX,NYSE:TROX,Tronox Holdings plc,Commodity Chemicals
KMT,NYSE:KMT,Kennametal Inc.,Industrial Machinery and Supplies and Components
NEO,NasdaqCM:NEO,"NeoGenomics, Inc.",Health Care Services
AX,NYSE:AX,"Axos Financial, Inc.",Regional Banks
CSTM,NYSE:CSTM,Constellium SE,Aluminum
ALG,NYSE:ALG,Alamo Group Inc.,Construction Machinery and Heavy Transportation Equipment
IAS,NasdaqGS:IAS,Integral Ad Science Holding Corp.,Advertising
EVTC,NYSE:EVTC,"EVERTEC, Inc.",Transaction and Payment Processing Services
PSMT,NasdaqGS:PSMT,"PriceSmart, Inc.",Consumer Staples Merchandise Retail
NPO,NYSE:NPO,"EnPro Industries, Inc.",Industrial Machinery and Supplies and Components
SHAK,NYSE:SHAK,Shake Shack Inc.,Restaurants
EPC,NYSE:EPC,Edgewell Personal Care Company,Personal Care Products
MWA,NYSE:MWA,"Mueller Water Products, Inc.",Industrial Machinery and Supplies and Components
APAM,NYSE:APAM,Artisan Partners Asset Management Inc.,Asset Management and Custody Banks
DAN,NYSE:DAN,Dana Incorporated,Automotive Parts and Equipment
CRS,NYSE:CRS,Carpenter Technology Corporation,Steel
STRA,NasdaqGS:STRA,"Strategic Education, Inc.",Education Services
ABCL,NasdaqGS:ABCL,AbCellera Biologics Inc.,Life Sciences Tools and Services
DEI,NYSE:DEI,"Douglas Emmett, Inc.",Office REITs
BEAM,NasdaqGS:BEAM,Beam Therapeutics Inc.,Biotechnology
IDCC,NasdaqGS:IDCC,"InterDigital, Inc.",Application Software
NUVA,NasdaqGS:NUVA,"NuVasive, Inc.",Health Care Equipment
MRTX,NasdaqGS:MRTX,"Mirati Therapeutics, Inc.",Biotechnology
MATX,NYSE:MATX,"Matson, Inc.",Marine Transportation
CSWI,NasdaqGS:CSWI,"CSW Industrials, Inc.",Building Products
CARG,NasdaqGS:CARG,"CarGurus, Inc.",Interactive Media and Services
ULCC,NasdaqGS:ULCC,"Frontier Group Holdings, Inc.",Passenger Airlines
EVA,NYSE:EVA,Enviva Inc.,Coal and Consumable Fuels
AGTI,NYSE:AGTI,"Agiliti, Inc.",Health Care Services
SNEX,NasdaqGS:SNEX,StoneX Group Inc.,Investment Banking and Brokerage
WLY,NYSE:WLY,"John Wiley & Sons, Inc.",Publishing
CENT,NasdaqGS:CENT,Central Garden & Pet Company,Household Products
CENT.A,NasdaqGS:CENT.A,Central Garden & Pet Company,Household Products
YELP,NYSE:YELP,Yelp Inc.,Interactive Media and Services
HLIO,NYSE:HLIO,"Helios Technologies, Inc.",Industrial Machinery and Supplies and Components
MGPI,NasdaqGS:MGPI,"MGP Ingredients, Inc.",Distillers and Vintners
IIPR,NYSE:IIPR,"Innovative Industrial Properties, Inc.",Industrial REITs
GSAT,NYSEAM:GSAT,"Globalstar, Inc.",Alternative Carriers
MYRG,NasdaqGS:MYRG,MYR Group Inc.,Construction and Engineering
BOH,NYSE:BOH,Bank of Hawaii Corporation,Regional Banks
VICR,NasdaqGS:VICR,Vicor Corporation,Electrical Components and Equipment
TGTX,NasdaqCM:TGTX,"TG Therapeutics, Inc.",Biotechnology
HIMS,NYSE:HIMS,"Hims & Hers Health, Inc.",Health Care Services
ABR,NYSE:ABR,"Arbor Realty Trust, Inc.",Mortgage REITs
NG,NYSEAM:NG,NovaGold Resources Inc.,Gold
FFBC,NasdaqGS:FFBC,First Financial Bancorp.,Regional Banks
FA,NasdaqGS:FA,First Advantage Corporation,Human Resource and Employment Services
CHGG,NYSE:CHGG,"Chegg, Inc.",Education Services
KRYS,NasdaqGM:KRYS,"Krystal Biotech, Inc.",Biotechnology
NAVI,NasdaqGS:NAVI,Navient Corporation,Consumer Finance
CPE,NYSE:CPE,Callon Petroleum Company,Oil and Gas Exploration and Production
SHO,NYSE:SHO,"Sunstone Hotel Investors, Inc.",Hotel and Resort REITs
ICFI,NasdaqGS:ICFI,"ICF International, Inc.",Research and Consulting Services
FBP,NYSE:FBP,First BanCorp.,Regional Banks
SKT,NYSE:SKT,"Tanger Factory Outlet Centers, Inc.",Retail REITs
ACVA,NasdaqGS:ACVA,ACV Auctions Inc.,Diversified Support Services
EBC,NasdaqGS:EBC,"Eastern Bankshares, Inc.",Regional Banks
INSW,NYSE:INSW,"International Seaways, Inc.",Oil and Gas Storage and Transportation
CCS,NYSE:CCS,"Century Communities, Inc.",Homebuilding
AGYS,NasdaqGS:AGYS,"Agilysys, Inc.",Application Software
MSGE,NYSE:MSGE,Madison Square Garden Entertainment Corp.,Movies and Entertainment
B,NYSE:B,Barnes Group Inc.,Industrial Machinery and Supplies and Components
NTCT,NasdaqGS:NTCT,"NetScout Systems, Inc.",Communications Equipment
LESL,NasdaqGS:LESL,"Leslie's, Inc.",Other Specialty Retail
DOOR,NYSE:DOOR,Masonite International Corporation,Building Products
CEIX,NYSE:CEIX,CONSOL Energy Inc.,Coal and Consumable Fuels
THRM,NasdaqGS:THRM,Gentherm Incorporated,Automotive Parts and Equipment
EVCM,NasdaqGS:EVCM,EverCommerce Inc.,Application Software
IMVT,NasdaqGS:IMVT,"Immunovant, Inc.",Biotechnology
XPRO,NYSE:XPRO,Expro Group Holdings N.V.,Oil and Gas Equipment and Services
RLAY,NasdaqGM:RLAY,"Relay Therapeutics, Inc.",Biotechnology
SBCF,NasdaqGS:SBCF,Seacoast Banking Corporation of Florida,Regional Banks
TRN,NYSE:TRN,"Trinity Industries, Inc.",Construction Machinery and Heavy Transportation Equipment
CLBK,NasdaqGS:CLBK,"Columbia Financial, Inc.",Regional Banks
WAFD,NasdaqGS:WAFD,"Washington Federal, Inc.",Regional Banks
SUPN,NasdaqGM:SUPN,"Supernus Pharmaceuticals, Inc.",Pharmaceuticals
TOWN,NasdaqGS:TOWN,TowneBank,Regional Banks
MTX,NYSE:MTX,Minerals Technologies Inc.,Specialty Chemicals
FRME,NasdaqGS:FRME,First Merchants Corporation,Regional Banks
FSR,NYSE:FSR,Fisker Inc.,Automobile Manufacturers
VCTR,NasdaqGS:VCTR,"Victory Capital Holdings, Inc.",Asset Management and Custody Banks
SLVM,NYSE:SLVM,Sylvamo Corporation,Paper Products
SAH,NYSE:SAH,"Sonic Automotive, Inc.",Automotive Retail
AMLX,NasdaqGS:AMLX,"Amylyx Pharmaceuticals, Inc.",Pharmaceuticals
BGCP,NasdaqGS:BGCP,"BGC Partners, Inc.",Investment Banking and Brokerage
VTYX,NasdaqGS:VTYX,"Ventyx Biosciences, Inc.",Pharmaceuticals
CTRE,NYSE:CTRE,"CareTrust REIT, Inc.",Health Care REITs
HRMY,NasdaqGM:HRMY,"Harmony Biosciences Holdings, Inc.",Pharmaceuticals
NUS,NYSE:NUS,"Nu Skin Enterprises, Inc.",Personal Care Products
BORR,NYSE:BORR,Borr Drilling Limited,Oil and Gas Drilling
DBRG,NYSE:DBRG,"DigitalBridge Group, Inc.",Real Estate Operating Companies
EXPI,NasdaqGM:EXPI,"eXp World Holdings, Inc.",Real Estate Services
ATRC,NasdaqGM:ATRC,"AtriCure, Inc.",Health Care Equipment
RKLB,NasdaqCM:RKLB,"Rocket Lab USA, Inc.",Aerospace and Defense
RVLV,NYSE:RVLV,"Revolve Group, Inc.",Apparel Retail
PRK,NYSEAM:PRK,Park National Corporation,Regional Banks
HTH,NYSE:HTH,Hilltop Holdings Inc.,Regional Banks
HCC,NYSE:HCC,"Warrior Met Coal, Inc.",Steel
IBTX,NasdaqGS:IBTX,"Independent Bank Group, Inc.",Regional Banks
GOGL,NasdaqGS:GOGL,Golden Ocean Group Limited,Marine Transportation
PIPR,NYSE:PIPR,Piper Sandler Companies,Investment Banking and Brokerage
MYGN,NasdaqGS:MYGN,"Myriad Genetics, Inc.",Biotechnology
SDGR,NasdaqGS:SDGR,"Schrödinger, Inc.",Health Care Technology
XPEL,NasdaqCM:XPEL,"XPEL, Inc.",Automotive Parts and Equipment
VGR,NYSE:VGR,Vector Group Ltd.,Tobacco
PCRX,NasdaqGS:PCRX,"Pacira BioSciences, Inc.",Pharmaceuticals
TALO,NYSE:TALO,Talos Energy Inc.,Oil and Gas Exploration and Production
SAVE,NYSE:SAVE,"Spirit Airlines, Inc.",Passenger Airlines
NMIH,NasdaqGM:NMIH,"NMI Holdings, Inc.",Commercial and Residential Mortgage Finance
AIR,NYSE:AIR,AAR Corp.,Aerospace and Defense
CRSR,NasdaqGS:CRSR,"Corsair Gaming, Inc.","Technology Hardware, Storage and Peripherals"
BANR,NasdaqGS:BANR,Banner Corporation,Regional Banks
SAFE,NYSE:SAFE,Safehold Inc.,Other Specialized REITs
NEX,NYSE:NEX,NexTier Oilfield Solutions Inc.,Oil and Gas Equipment and Services
GOGO,NasdaqGS:GOGO,Gogo Inc.,Wireless Telecommunication Services
VIRT,NasdaqGS:VIRT,"Virtu Financial, Inc.",Investment Banking and Brokerage
LAUR,NasdaqGS:LAUR,"Laureate Education, Inc.",Education Services
MRVI,NasdaqGS:MRVI,"Maravai LifeSciences Holdings, Inc.",Life Sciences Tools and Services
GPRE,NasdaqGS:GPRE,Green Plains Inc.,Oil and Gas Refining and Marketing
HBI,NYSE:HBI,Hanesbrands Inc.,"Apparel, Accessories and Luxury Goods"
NAPA,NYSE:NAPA,"The Duckhorn Portfolio, Inc.",Distillers and Vintners
GFF,NYSE:GFF,Griffon Corporation,Building Products
VRTV,NYSE:VRTV,Veritiv Corporation,Trading Companies and Distributors
WSBC,NasdaqGS:WSBC,"WesBanco, Inc.",Regional Banks
COHU,NasdaqGS:COHU,"Cohu, Inc.",Semiconductor Materials and Equipment
STR,NYSE:STR,Sitio Royalties Corp.,Oil and Gas Exploration and Production
BATR.A,NasdaqGS:BATR.A,The Liberty Braves Group,Movies and Entertainment
BATR.K,NasdaqGS:BATR.K,The Liberty Braves Group,Movies and Entertainment
CAKE,NasdaqGS:CAKE,The Cheesecake Factory Incorporated,Restaurants
ODP,NasdaqGS:ODP,The ODP Corporation,Other Specialty Retail
JACK,NasdaqGS:JACK,Jack in the Box Inc.,Restaurants
AKRO,NasdaqGS:AKRO,"Akero Therapeutics, Inc.",Biotechnology
GVA,NYSE:GVA,Granite Construction Incorporated,Construction and Engineering
AMPH,NasdaqGS:AMPH,"Amphastar Pharmaceuticals, Inc.",Pharmaceuticals
NOVA,NYSE:NOVA,Sunnova Energy International Inc.,Renewable Electricity
FORG,NYSE:FORG,"ForgeRock, Inc.",Application Software
VZIO,NYSE:VZIO,VIZIO Holding Corp.,Consumer Electronics
LZ,NasdaqGS:LZ,"LegalZoom.com, Inc.",Research and Consulting Services
LILA,NasdaqGS:LILA,Liberty Latin America Ltd.,Alternative Carriers
LILA.K,NasdaqGS:LILA.K,Liberty Latin America Ltd.,Alternative Carriers
PLAY,NasdaqGS:PLAY,"Dave & Buster's Entertainment, Inc.",Restaurants
BKE,NYSE:BKE,"The Buckle, Inc.",Apparel Retail
PARR,NYSE:PARR,"Par Pacific Holdings, Inc.",Oil and Gas Refining and Marketing
FLNG,NYSE:FLNG,FLEX LNG Ltd.,Oil and Gas Storage and Transportation
UE,NYSE:UE,Urban Edge Properties,Retail REITs
PEB,NYSE:PEB,Pebblebrook Hotel Trust,Hotel and Resort REITs
OII,NYSE:OII,"Oceaneering International, Inc.",Oil and Gas Equipment and Services
WGO,NYSE:WGO,"Winnebago Industries, Inc.",Automobile Manufacturers
TRUP,NasdaqGM:TRUP,"Trupanion, Inc.",Life and Health Insurance
ETWO,NYSE:ETWO,"E2open Parent Holdings, Inc.",Application Software
DHT,NYSE:DHT,"DHT Holdings, Inc.",Oil and Gas Storage and Transportation
TTEC,NasdaqGS:TTEC,"TTEC Holdings, Inc.",Data Processing and Outsourced Services
FGEN,NasdaqGS:FGEN,"FibroGen, Inc.",Biotechnology
MCY,NYSE:MCY,Mercury General Corporation,Property and Casualty Insurance
USM,NYSE:USM,United States Cellular Corporation,Wireless Telecommunication Services
ATGE,NYSE:ATGE,Adtalem Global Education Inc.,Education Services
CNK,NYSE:CNK,"Cinemark Holdings, Inc.",Movies and Entertainment
CPRX,NasdaqCM:CPRX,"Catalyst Pharmaceuticals, Inc.",Biotechnology
MHO,NYSE:MHO,"M/I Homes, Inc.",Homebuilding
ROIC,NasdaqGS:ROIC,Retail Opportunity Investments Corp.,Retail REITs
PJT,NYSE:PJT,PJT Partners Inc.,Investment Banking and Brokerage
ATEC,NasdaqGS:ATEC,"Alphatec Holdings, Inc.",Health Care Equipment
JBGS,NYSE:JBGS,JBG SMITH Properties,Office REITs
INFN,NasdaqGS:INFN,Infinera Corporation,Communications Equipment
OSIS,NasdaqGS:OSIS,"OSI Systems, Inc.",Electronic Equipment and Instruments
COUR,NYSE:COUR,"Coursera, Inc.",Education Services
AMEH,NasdaqCM:AMEH,"Apollo Medical Holdings, Inc.",Health Care Services
DRH,NYSE:DRH,DiamondRock Hospitality Company,Hotel and Resort REITs
RNST,NasdaqGS:RNST,Renasant Corporation,Regional Banks
KTOS,NasdaqGS:KTOS,"Kratos Defense & Security Solutions, Inc.",Aerospace and Defense
MRTN,NasdaqGS:MRTN,"Marten Transport, Ltd.",Cargo Ground Transportation
