STHO,NasdaqGM:STHO,Star Holdings,Real Estate Operating Companies
TSN,NYSE:TSN,"Tyson Foods, Inc.",Packaged Foods and Meats
TDY,NYSE:TDY,Teledyne Technologies Incorporated,Electronic Equipment and Instruments
HPE,NYSE:HPE,Hewlett Packard Enterprise Company,"Technology Hardware, Storage and Peripherals"
HEI,NYSE:HEI,HEICO Corporation,Aerospace and Defense
HEI.A,NYSE:HEI.A,HEICO Corporation,Aerospace and Defense
BAX,NYSE:BAX,Baxter International Inc.,Health Care Equipment
PPL,NYSE:PPL,PPL Corporation,Electric Utilities
NET,NYSE:NET,"Cloudflare, Inc.",Internet Services and Infrastructure
LH,NYSE:LH,Laboratory Corporation of America Holdings,Health Care Services
TTWO,NasdaqGS:TTWO,"Take-Two Interactive Software, Inc.",Interactive Home Entertainment
MTB,NYSE:MTB,M&T Bank Corporation,Regional Banks
RJF,NYSE:RJF,"Raymond James Financial, Inc.",Investment Banking and Brokerage
HOLX,NasdaqGS:HOLX,"Hologic, Inc.",Health Care Equipment
CLX,NYSE:CLX,The Clorox Company,Household Products
CAH,NYSE:CAH,"Cardinal Health, Inc.",Health Care Distributors
LUV,NYSE:LUV,Southwest Airlines Co.,Passenger Airlines
GRMN,NYSE:GRMN,Garmin Ltd.,Consumer Electronics
STLD,NasdaqGS:STLD,"Steel Dynamics, Inc.",Steel
INVH,NYSE:INVH,Invitation Homes Inc.,Single-Family Residential REITs
OMC,NYSE:OMC,Omnicom Group Inc.,Advertising
STE,NYSE:STE,STERIS plc,Health Care Equipment
DRI,NYSE:DRI,"Darden Restaurants, Inc.",Restaurants
XYL,NYSE:XYL,Xylem Inc.,Industrial Machinery and Supplies and Components
CTRA,NYSE:CTRA,Coterra Energy Inc.,Oil and Gas Exploration and Production
SWKS,NasdaqGS:SWKS,"Skyworks Solutions, Inc.",Semiconductors
PINS,NYSE:PINS,"Pinterest, Inc.",Interactive Media and Services
CNP,NYSE:CNP,"CenterPoint Energy, Inc.",Multi-Utilities
ROL,NYSE:ROL,"Rollins, Inc.",Environmental and Facilities Services
COO,NYSE:COO,"The Cooper Companies, Inc.",Health Care Supplies
NTRS,NasdaqGS:NTRS,Northern Trust Corporation,Asset Management and Custody Banks
WAT,NYSE:WAT,Waters Corporation,Life Sciences Tools and Services
